month,Aviation,Corporate,Offline,Online,Total
1,88,68.48745283,73.96984076,80.24478723,76.97587398
2,88,75.04043689,71.89116438,86.95674352,81.58756228
3,89,74.48167665,78.45033457,99.18717886,92.6292334
4,97.16,80.6,87.386823,108.2808059,102.4481351
5,102.7586207,102.5705936,93.06761905,125.0895943,114.8272388
6,95,86.01666667,106.1449015,119.5887397,112.7054368
7,79,84.61061947,96.37923197,118.536403,112.3169125
8,79,78.34413223,93.74374324,121.4823623,114.6440345
9,107.5,96.20352713,101.6328894,128.3607284,117.1252007
10,105.3793103,86.4020362,93.51821083,115.0497461,105.34967
11,92.08333333,74.90059574,79.92463171,100.1630297,92.5865361
12,92.08333333,73.91927536,75.19296089,97.77731504,90.65551619
