date,Aviation,Complementary,Corporate,Offline,Online,Total
1,1,16,41,284,791,1133
2,8,13,87,410,813,1331
3,1,11,43,306,737,1098
4,4,14,52,451,806,1327
5,1,20,91,277,765,1154
6,2,9,39,481,742,1273
7,6,14,62,186,842,1110
8,2,8,63,343,782,1198
9,12,14,89,301,714,1130
10,9,23,57,296,704,1089
11,8,19,64,236,771,1098
12,9,15,60,314,806,1204
13,1,12,77,481,787,1358
14,1,6,87,522,626,1242
15,3,11,53,413,793,1273
16,1,13,43,436,813,1306
17,,21,112,439,773,1345
18,1,8,65,449,737,1260
19,10,10,186,404,717,1327
20,9,14,72,408,778,1281
21,3,11,62,327,755,1158
22,3,14,53,254,699,1023
23,2,11,29,208,740,990
24,2,7,50,377,667,1103
25,3,12,70,315,746,1146
26,9,10,52,264,811,1146
27,2,17,50,278,712,1059
28,3,13,46,274,793,1129
29,1,7,65,304,813,1190
30,8,8,34,409,757,1216
31,,10,63,81,424,578
